Source,Day,Mon,Yr,BluePopulation,LengthFT,Sex,Pregnant,Latitude,Longitude,Maturity,OriginalAge,Age,MinAge,AccurateAge,TotalCorpora,MarkNo
Maeda,25,3,1960,Pygmy,72,F,No,-50,72,Unknown,10,10,No,Yes,NA,
Maeda,25,3,1960,Pygmy,71,F,No,-50,72,Unknown,17,17,No,Yes,NA,
Maeda,17,3,1960,Pygmy,72,F,No,-51,73,Unknown,16,16,No,Yes,NA,
Maeda,18,3,1960,Pygmy,69,F,No,-49,70,Unknown,11,11,No,Yes,NA,
Maeda,18,3,1960,Pygmy,74,F,No,-49,70,Unknown,18,18,Yes,No,NA,
Maeda,18,3,1960,Pygmy,74,F,No,-49,70,Unknown,35,35,Yes,No,NA,
Maeda,18,3,1960,Pygmy,72,F,No,-49,70,Unknown,13,13,Yes,No,NA,
Maeda,18,3,1960,Pygmy,72,F,No,-49,70,Unknown,13?,13,No,No,NA,
Maeda,18,3,1960,Pygmy,73,F,Yes,-49,70,Mature,18,18,No,Yes,NA,
Maeda,18,3,1960,Pygmy,71,M,No,-49,70,Unknown,19,19,No,Yes,NA,
Maeda,18,3,1960,Pygmy,71,F,Yes,-49,70,Mature,29,29,No,Yes,NA,
Maeda,18,3,1960,Pygmy,72,M,No,-49,70,Unknown,40,40,No,Yes,NA,
Maeda,18,3,1960,Pygmy,73,F,No,-49,70,Unknown,21,21,No,Yes,NA,
Maeda,18,3,1960,Pygmy,76,F,No,-49,70,Unknown,21,21,Yes,No,NA,
Maeda,18,3,1960,Pygmy,73,F,Yes,-49,70,Mature,24,24,No,Yes,NA,
Maeda,18,3,1960,Pygmy,70,F,No,-49,70,Unknown,4,4,No,Yes,NA,
Maeda,18,3,1960,Pygmy,71,F,Yes,-49,70,Mature,11,11,No,Yes,NA,
Maeda,18,3,1960,Pygmy,71,F,No,-49,70,Unknown,37,37,No,Yes,NA,
Maeda,18,3,1960,Pygmy,74,M,No,-49,70,Unknown,25,25,No,Yes,NA,
Maeda,18,3,1960,Pygmy,73,M,No,-49,70,Unknown,47,47,No,Yes,NA,
Maeda,19,3,1960,Pygmy,75,M,No,-50,70,Unknown,29,29,No,Yes,NA,
Maeda,19,3,1960,Pygmy,71,F,No,-50,70,Unknown,19,19,No,Yes,NA,
Maeda,19,3,1960,Pygmy,76,M,No,-50,70,Unknown,26,26,No,Yes,NA,
Maeda,19,3,1960,Pygmy,74,F,No,-50,70,Unknown,21,21,No,Yes,NA,
Maeda,19,3,1960,Pygmy,70,F,No,-50,70,Unknown,34,34,No,Yes,NA,
Maeda,19,3,1960,Pygmy,72,M,No,-50,70,Unknown,21,21,No,Yes,NA,
Maeda,19,3,1960,Pygmy,71,M,No,-50,70,Unknown,16,16,No,Yes,NA,
Maeda,19,3,1960,Pygmy,74,M,No,-50,70,Unknown,6,6,No,Yes,NA,
Maeda,19,3,1960,Pygmy,70,F,No,-50,70,Unknown,15,15,No,Yes,NA,
Maeda,19,3,1960,Pygmy,72,F,Yes,-50,70,Mature,17,17,Yes,No,NA,
Maeda,19,3,1960,Pygmy,73,F,No,-50,70,Unknown,14,14,No,Yes,NA,
Maeda,19,3,1960,Pygmy,70,F,No,-50,70,Unknown,8,8,No,Yes,NA,
Maeda,19,3,1960,Pygmy,69,F,No,-50,70,Unknown,11,11,No,Yes,NA,
