Source,Day,Mon,Yr,BluePopulation,LengthFT,Sex,Pregnant,Latitude,Longitude,Maturity,OriginalAge,Age,MinAge,AccurateAge,TotalCorpora,MarkNo,Length,Length (ft),Earplug laminae
Maeda,16,6,1964,W N Pacific,81,F,Yes,51.55,-167.133,Unknown,7,7,No,Yes,3,NA,24.6888,NA,NA
Maeda,21,6,1964,W N Pacific,79,F,Yes,51.533,-165.5,Mature,28,28,No,Yes,6,NA,24.0792,NA,NA
Maeda,5,7,1964,E N Pacific,71,F,Yes,50.667,-137.067,Mature,22,22,No,Yes,2,NA,21.640800000000002,NA,NA
Maeda,18,6,1964,W N Pacific,77,F,Yes,56.183,-148.183,Mature,13,13,No,Yes,1,NA,23.4696,NA,NA
Mizroch,23,9,1959,E N Pacific,82,F,No,37,-124,Mature,26,26,No,Yes,8,NA,24.9936,NA,NA
Mizroch,30,9,1959,E N Pacific,74,F,No,37,-124,Mature,46,46,No,Yes,15,NA,22.555200000000003,NA,NA
Mizroch,6,6,1962,E N Pacific,66,F,No,37,-124,Immature,8,8,No,Yes,0,NA,20.1168,NA,NA
Mizroch,13,9,1962,E N Pacific,67,F,Yes,37,-124,Mature,11,11,No,Yes,1,NA,20.4216,NA,NA
Mizroch,26,9,1963,E N Pacific,74,F,Yes,37,-124,Mature,17,17,No,Yes,3,NA,22.555200000000003,NA,NA
Mizroch,6,10,1963,E N Pacific,75,F,No,37,-124,Mature,11,11,No,Yes,1,NA,22.86,NA,NA
Mizroch,25,7,1964,E N Pacific,75,F,Yes,37,-124,Mature,33,33,No,Yes,10,NA,22.86,NA,NA
Mizroch,29,7,1964,E N Pacific,69,F,No,37,-124,Immature,9,9,No,Yes,0,NA,21.031200000000002,NA,NA
Mizroch,24,9,1965,E N Pacific,75,F,No,37,-124,Mature,16,16,No,Yes,3,NA,22.86,NA,NA
Mizroch,1,10,1965,E N Pacific,77,F,No,37,-124,Mature,17,17,No,Yes,4,NA,23.4696,NA,NA
Discovery,17,2,57,Antarctic,75,F,NA,-66.26,-148.11,NA,NA,7,NA,Yes,0,14661,22.86,NA,NA
Discovery,2,2,57,Antarctic,76,F,NA,-66.33,-122.42,NA,NA,7,NA,Yes,0,17644,23.1648,NA,NA
Discovery,13,2,59,Antarctic,78,F,NA,-64.42,123.5,NA,NA,7,NA,Yes,0,20515,23.7744,NA,NA
Discovery,5,3,64,Antarctic,79,F,NA,-54.58,36.43,NA,NA,10,NA,Yes,0,25605,24.0792,NA,NA
Ichihara,NA,NA,NA,Pygmy,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,1,NA,18.8976,62,12
Ichihara,NA,NA,NA,Pygmy,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,0,NA,19.2024,63,9
Ichihara,NA,NA,NA,Pygmy,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,0,NA,19.5072,64,13
Ichihara,NA,NA,NA,Pygmy,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,4,NA,19.5072,64,18
Ichihara,NA,NA,NA,Pygmy,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,2,NA,19.812,65,16
Ichihara,NA,NA,NA,Pygmy,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,2,NA,19.812,65,17
Ichihara,NA,NA,NA,Pygmy,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,0,NA,20.1168,66,12
Ichihara,NA,NA,NA,Pygmy,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,1,NA,20.1168,66,14
Ichihara,NA,NA,NA,Pygmy,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,2,NA,20.1168,66,15
Ichihara,NA,NA,NA,Pygmy,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,4,NA,20.1168,66,20
Ichihara,NA,NA,NA,Pygmy,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,6,NA,20.1168,66,28
Ichihara,NA,NA,NA,Pygmy,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,0,NA,20.4216,67,15
Ichihara,NA,NA,NA,Pygmy,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,2,NA,20.4216,67,13
Ichihara,NA,NA,NA,Pygmy,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,2,NA,20.4216,67,14
Ichihara,NA,NA,NA,Pygmy,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,3,NA,20.4216,67,21
