Source,Day,Mon,Yr,BluePopulation,LengthFT,Sex,Pregnant,Latitude,Longitude,Maturity,OriginalAge,Age,MinAge,AccurateAge,TotalCorpora,MarkNo,Length
Maeda,25,3,1960,Pygmy,72,Female,No,-50,72,Unknown,10,10,No,Yes,NA,NA,21.945600000000002
Maeda,25,3,1960,Pygmy,71,Female,No,-50,72,Unknown,17,17,No,Yes,NA,NA,21.640800000000002
Maeda,17,3,1960,Pygmy,72,Female,No,-51,73,Unknown,16,16,No,Yes,NA,NA,21.945600000000002
Maeda,18,3,1960,Pygmy,69,Female,No,-49,70,Unknown,11,11,No,Yes,NA,NA,21.031200000000002
Maeda,18,3,1960,Pygmy,73,Female,Yes,-49,70,Mature,18,18,No,Yes,NA,NA,22.250400000000003
Maeda,18,3,1960,Pygmy,71,Male,No,-49,70,Unknown,19,19,No,Yes,NA,NA,21.640800000000002
Maeda,18,3,1960,Pygmy,71,Female,Yes,-49,70,Mature,29,29,No,Yes,NA,NA,21.640800000000002
Maeda,18,3,1960,Pygmy,72,Male,No,-49,70,Unknown,40,40,No,Yes,NA,NA,21.945600000000002
Maeda,18,3,1960,Pygmy,73,Female,No,-49,70,Unknown,21,21,No,Yes,NA,NA,22.250400000000003
Maeda,18,3,1960,Pygmy,73,Female,Yes,-49,70,Mature,24,24,No,Yes,NA,NA,22.250400000000003
Maeda,18,3,1960,Pygmy,70,Female,No,-49,70,Unknown,4,4,No,Yes,NA,NA,21.336000000000002
Maeda,18,3,1960,Pygmy,71,Female,Yes,-49,70,Mature,11,11,No,Yes,NA,NA,21.640800000000002
Maeda,18,3,1960,Pygmy,71,Female,No,-49,70,Unknown,37,37,No,Yes,NA,NA,21.640800000000002
Maeda,18,3,1960,Pygmy,74,Male,No,-49,70,Unknown,25,25,No,Yes,NA,NA,22.555200000000003
Maeda,18,3,1960,Pygmy,73,Male,No,-49,70,Unknown,47,47,No,Yes,NA,NA,22.250400000000003
Maeda,19,3,1960,Pygmy,75,Male,No,-50,70,Unknown,29,29,No,Yes,NA,NA,22.86
Maeda,19,3,1960,Pygmy,71,Female,No,-50,70,Unknown,19,19,No,Yes,NA,NA,21.640800000000002
Maeda,19,3,1960,Pygmy,76,Male,No,-50,70,Unknown,26,26,No,Yes,NA,NA,23.1648
Maeda,19,3,1960,Pygmy,74,Female,No,-50,70,Unknown,21,21,No,Yes,NA,NA,22.555200000000003
Maeda,19,3,1960,Pygmy,70,Female,No,-50,70,Unknown,34,34,No,Yes,NA,NA,21.336000000000002
Maeda,19,3,1960,Pygmy,72,Male,No,-50,70,Unknown,21,21,No,Yes,NA,NA,21.945600000000002
Maeda,19,3,1960,Pygmy,71,Male,No,-50,70,Unknown,16,16,No,Yes,NA,NA,21.640800000000002
Maeda,19,3,1960,Pygmy,74,Male,No,-50,70,Unknown,6,6,No,Yes,NA,NA,22.555200000000003
Maeda,19,3,1960,Pygmy,70,Female,No,-50,70,Unknown,15,15,No,Yes,NA,NA,21.336000000000002
Maeda,19,3,1960,Pygmy,73,Female,No,-50,70,Unknown,14,14,No,Yes,NA,NA,22.250400000000003
Maeda,19,3,1960,Pygmy,70,Female,No,-50,70,Unknown,8,8,No,Yes,NA,NA,21.336000000000002
Maeda,19,3,1960,Pygmy,69,Female,No,-50,70,Unknown,11,11,No,Yes,NA,NA,21.031200000000002
Maeda,19,3,1960,Pygmy,71,Male,No,-50,70,Unknown,23,23,No,Yes,NA,NA,21.640800000000002
Maeda,19,3,1960,Pygmy,73,Male,No,-50,70,Unknown,14,14,No,Yes,NA,NA,22.250400000000003
Maeda,19,3,1960,Pygmy,76,Female,No,-50,70,Unknown,29,29,No,Yes,NA,NA,23.1648
Maeda,19,3,1960,Pygmy,75,Female,No,-50,70,Unknown,24,24,No,Yes,NA,NA,22.86
Maeda,19,3,1960,Pygmy,72,Female,No,-50,70,Unknown,27,27,No,Yes,NA,NA,21.945600000000002
Maeda,19,3,1960,Pygmy,70,Male,No,-50,70,Unknown,13,13,No,Yes,NA,NA,21.336000000000002
Maeda,19,3,1960,Pygmy,72,Female,No,-50,70,Unknown,23,23,No,Yes,NA,NA,21.945600000000002
Maeda,19,3,1960,Pygmy,74,Male,No,-50,70,Unknown,17,17,No,Yes,NA,NA,22.555200000000003
Maeda,20,3,1960,Pygmy,74,Female,No,-49,70,Unknown,28,28,No,Yes,NA,NA,22.555200000000003
